symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFC,INE001A01036,2021-02-26,NSE,EQ,EQ,buy,false,4.000000,2577.449951,27429754,1100000008507815,2021-02-26T10:59:06
HDFC,INE001A01036,2021-02-26,NSE,EQ,EQ,buy,false,1.000000,2548.600098,31558259,1100000023022378,2021-02-26T15:06:55
BHARTIARTL,INE397D01024,2021-03-01,NSE,EQ,EQ,buy,false,5.000000,533.099976,2170345,1000000009840917,2021-03-01T11:21:12
CENTURYTEX,INE055A01016,2021-03-02,NSE,EQ,EQ,sell,false,28.000000,500.000000,2154173,1000000008818751,2021-03-02T10:57:05
N100,INF247L01031,2021-03-02,NSE,EQ,EQ,buy,false,1.000000,954.940002,54385407,1200000016176569,2021-03-02T14:29:38
VEDL,INE205A01025,2021-03-04,BSE,EQ,A,buy,false,10.000000,214.000000,12228400,1614836674685206318,2021-03-04T13:57:21
N100,INF247L01031,2021-03-05,NSE,EQ,EQ,buy,false,3.000000,892.960022,53047126,1200000012281639,2021-03-05T13:38:28
BHARTIARTL,INE397D01024,2021-03-08,NSE,EQ,EQ,buy,false,3.000000,526.000000,4280200,1000000018041350,2021-03-08T14:59:41
CENTURYTEX,INE055A01016,2021-03-09,NSE,EQ,EQ,buy,false,5.000000,489.750000,4750752,1000000018598708,2021-03-09T14:43:19
CENTURYTEX,INE055A01016,2021-03-09,NSE,EQ,EQ,buy,false,5.000000,487.000000,5228652,1000000019984594,2021-03-09T15:11:57
ITC,INE154A01025,2021-03-10,NSE,EQ,EQ,buy,false,9.000000,206.100006,27424771,1100000007769140,2021-03-10T12:21:33
ASIANPAINT,INE021A01026,2021-03-15,BSE,EQ,A,buy,false,1.000000,2375.550049,2625900,1615779000023424362,2021-03-15T10:17:17
HDFC,INE001A01036,2021-03-15,NSE,EQ,EQ,buy,false,1.000000,2508.000000,26892272,1100000006460522,2021-03-15T10:58:44
CENTURYTEX,INE055A01016,2021-03-15,NSE,EQ,EQ,buy,false,20.000000,484.350006,2961738,1000000013173524,2021-03-15T12:45:08
MAHABANK,INE457A01014,2021-03-17,NSE,EQ,EQ,buy,false,71.000000,20.500000,53509865,1200000014652606,2021-03-17T15:10:19
VSTIND,INE710A01016,2021-03-18,BSE,EQ,A,sell,false,1.000000,3415.000000,1399600,1616038200012249100,2021-03-18T10:06:49
ITC,INE154A01025,2021-03-18,NSE,EQ,EQ,sell,false,30.000000,216.949997,30288682,1100000017422629,2021-03-18T15:13:25
HDFC,INE001A01036,2021-03-23,NSE,EQ,EQ,buy,false,2.000000,2500.649902,27821205,1100000010050172,2021-03-23T12:41:55
HDFC,INE001A01036,2021-03-24,NSE,EQ,EQ,buy,false,2.000000,2460.149902,27393824,1100000007470721,2021-03-24T12:07:35
BHARTIARTL,INE397D01024,2021-03-25,NSE,EQ,EQ,buy,false,3.000000,510.350006,2208159,1000000008946948,2021-03-25T11:13:36
ITC,INE154A01025,2021-03-25,NSE,EQ,EQ,buy,false,20.000000,210.000000,27378310,1100000005711976,2021-03-25T12:03:57
N100,INF247L01031,2021-03-30,NSE,EQ,EQ,buy,false,1.000000,930.309998,51569304,1200000004121828,2021-03-30T10:39:14
CENTURYTEX,INE055A01016,2021-03-30,NSE,EQ,EQ,buy,false,5.000000,460.250000,1632693,1000000004903489,2021-03-30T10:59:40
